Timestamp,Gender,Age,What's your position in the family?,"Who does most of the chores at home? 
chores = home tasks",Do you think the chores are divided fairly?,How would you describe your relationship with your siblings?,How often do you talk to your siblings?,Do you think the tasks affect your relationship with your siblings?,How do you think the tasks influence your family's relationships?,How happy are you with your relationship with your siblings?
3/8/2024 17:50:35,Female,20,Youngest,"Parents, Me",No,Not very close,Every day,Yes,Sometimes cause problems,Neutral
3/8/2024 17:58:24,Female,20,Youngest,"Parents, Older brothers/sisters",No,Close,Every day,Yes,Sometimes cause problems,Happy
3/8/2024 18:01:55,Male,22,Oldest,We share equally,No,Not very close,Every day,No,No big impact,Happy
3/8/2024 18:16:28,Female,23,Middle,"Parents, Older brothers/sisters, Me",Yes,Supportive,Every day,Yes,Bring us closer,Happy
3/8/2024 18:48:20,Female,22,Middle,Parents,No,Close,Every day,No,Sometimes cause problems,Happy
3/8/2024 18:51:24,Male,23,Middle,Parents,No,Supportive,Every day,No,No big impact,Happy
3/8/2024 18:51:36,Female,27,Oldest,Parents,No,Sometimes argue,Every day,Yes,Sometimes cause problems,Happy
3/9/2024 13:01:29,Male,19,Oldest,"Parents, Younger sibling, Me",No,Sometimes argue,Every day,Yes,Sometimes cause problems,Neutral
3/9/2024 13:07:46,Female,20,Oldest,Parents,No,Close,Every day,Yes,Bring us closer,Very happy
3/9/2024 13:09:04,Male,20,Oldest,Parents,Yes,Close,Every day,No,No big impact,Very happy
3/9/2024 13:12:49,Female,20,Oldest,Parents,No,Close,Every day,No,No big impact,Happy
3/9/2024 13:48:12,Female,20,Middle,Older sibling,No,Sometimes argue,Every day,No,No big impact,Neutral
3/9/2024 14:52:46,Female,18,Oldest,Parents,No,Close,Rarely,Yes,Sometimes cause problems,Very unhappy
3/9/2024 15:26:32,Female,22,Youngest,Parents,No,Close,Every day,Yes,Sometimes cause problems,Very unhappy
3/9/2024 17:18:28,Male,24,Middle,Parents,Yes,Not very close,Once a week,No,No big impact,Happy
3/9/2024 23:31:04,Female,18,Middle,Older sibling,No,Sometimes argue,Few times a week,No,Sometimes cause problems,Very unhappy
3/10/2024 11:03:52,Female,19,Youngest,Parents,Yes,Close,Few times a week,Yes,No big impact,Very happy
3/11/2024 11:38:00,Female,19,Middle,"Parents, Me",No,Sometimes argue,Every day,Yes,No big impact,Neutral
3/11/2024 11:38:52,Male,18,Youngest,"Parents, Older sibling",No,Supportive,Every day,No,No big impact,Happy
3/11/2024 16:51:55,Female,21,Oldest,Parents,No,Sometimes argue,Every day,No,Encourage us to work together,Happy
3/11/2024 17:42:23,Male,23,Youngest,We share equally,Yes,Supportive,Once a week,Yes,Bring us closer,Happy
3/11/2024 17:47:36,Male,23,Oldest,We share equally,Yes,Supportive,Every day,Yes,Bring us closer,Very unhappy
3/11/2024 17:53:37,Male,24,Oldest,Older sibling,Yes,Close,Every day,No,Sometimes cause problems,Happy
